"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 82.4270259631 82.4270259631 82.4270259631 82.4270259631
2 -68.4465423496 -68.4465423496 -68.4465423496 -68.4465423496
10 -44.9497119928 -68.4465423496 -44.9497119928 -68.4465423496
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 117.1469273911 117.1469273911 117.1469273911 117.1469273911
2 -68.0199712171 -68.0199712171 -68.0199712171 -68.0199712171
10 52.8194310134 -68.0199712171 52.8194310134 -68.0199712171
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 78.3124099744 78.3124099744 78.3124099744 78.3124099744
2 -27.6789078564 -27.6789078564 -27.6789078564 -27.6789078564
4 -34.6437556460 -34.6437556460 -34.6437556460 -34.6437556460
6 -59.8525755318 -59.8525755318 -59.8525755318 -59.8525755318
10 -12.6628410852 -59.8525755318 -12.6628410852 -59.8525755318
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 -37.3673952064 -3.7367395206 -37.3673952064 -37.3673952064
10 4117.3527089501 -3.7367395206 4117.3527089501 -37.3673952064
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 3204.4253701193 320.4425370119 3204.4253701193 3204.4253701193
4 -7.6123065156 -0.7612306516 -7.6123065156 -7.6123065156
10 16153.5345490636 -0.7612306516 16153.5345490636 -7.6123065156
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 28650.7387290006 2865.0738729001 28650.7387290006 28650.7387290006
2 22166.0390058564 2216.6039005856 22166.0390058564 22166.0390058564
3 17146.7763115417 1714.6776311542 17146.7763115417 17146.7763115417
5 14937.0852282087 1493.7085228209 14937.0852282087 14937.0852282087
9 3423.1684066796 342.3168406680 3423.1684066796 3423.1684066796
10 -417.3527687952 -41.7352768795 -417.3527687952 -417.3527687952
