"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 113.0049084457 113.0049084457 192.4849084457 192.4849084457
2 111.6652100054 111.6652100054 191.1452100054 191.1452100054
4 72.3051790825 72.3051790825 151.7851790825 151.7851790825
8 32.9347377243 32.9347377243 112.4147377243 112.4147377243
10 123.6454422022 32.9347377243 203.1254422022 112.4147377243
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 159.4958064864 159.4958064864 238.9758064864 238.9758064864
2 63.4520787222 63.4520787222 142.9320787222 142.9320787222
3 47.3029125459 47.3029125459 126.7829125459 126.7829125459
10 80.6889625569 47.3029125459 160.1689625569 126.7829125459
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 138.9006428442 138.9006428442 218.3806428442 218.3806428442
2 120.3805386924 120.3805386924 199.8605386924 199.8605386924
3 101.0374672875 101.0374672875 180.5174672875 180.5174672875
7 81.0900312588 81.0900312588 160.5700312588 160.5700312588
10 103.9239386739 81.0900312588 183.4039386739 160.5700312588
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 66.9454564933 66.9454564933 70.5954564933 70.5954564933
10 122.3801825020 66.9454564933 126.0301825020 70.5954564933
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 194.8740410666 194.8740410666 198.5240410666 198.5240410666
2 163.0435400040 163.0435400040 166.6935400040 166.6935400040
3 157.3578746148 157.3578746148 161.0078746148 161.0078746148
4 115.9831647459 115.9831647459 119.6331647459 119.6331647459
8 109.8805627651 109.8805627651 113.5305627651 113.5305627651
10 197.0038601659 109.8805627651 200.6538601659 113.5305627651
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 190.1343359035 190.1343359035 193.7843359035 193.7843359035
4 98.5817712822 98.5817712822 102.2317712822 102.2317712822
6 46.5915178611 46.5915178611 50.2415178611 50.2415178611
10 133.9463314329 46.5915178611 137.5963314329 50.2415178611
